odist			pdist			force			mass			E0          			E(osz) 			E(CC)  			E(Lad.-Quadr.) 		E(QQ)				E(D)			
0.0			0.0			1.0			1.0			2.4324182258968605	0.5			Inf			NaN			NaN			NaN			
0.0			0.005			1.0			1.0			2.4319720572683274	0.5			200.0			7.999999999999999e6	1.9199999999999998e12	-7.999999999999999e6	
0.0			0.01			1.0			1.0			2.430694728969066	0.5			100.0			999999.9999999999	5.999999999999999e10	-999999.9999999999	
0.0			0.015			1.0			1.0			2.428743344114062	0.5			66.66666666666667	296296.29629629635	7.901234567901236e9	-296296.29629629635	
0.0			0.02			1.0			1.0			2.4263147739049824	0.5			50.0			124999.99999999999	1.8749999999999998e9	-124999.99999999999	
0.0			0.025			1.0			1.0			2.4235987204706704	0.5			40.0			63999.99999999999	6.143999999999998e8	-63999.99999999999	
0.0			0.03			1.0			1.0			2.4207557139575138	0.5			33.333333333333336	37037.037037037044	2.469135802469136e8	-37037.037037037044	
0.0			0.035			1.0			1.0			2.41791397728304	0.5			28.57142857142857	23323.615160349847	1.1423811507110126e8	-23323.615160349847	
0.0			0.04			1.0			1.0			2.415174784536049	0.5			25.0			15624.999999999998	5.859374999999999e7	-15624.999999999998	
0.0			0.045			1.0			1.0			2.4126198171577062	0.5			22.22222222222222	10973.936899862827	3.2515368592186157e7	-10973.936899862827	
0.0			0.05			1.0			1.0			2.4103178847307016	0.5			20.0			7999.999999999999	1.9199999999999993e7	-7999.999999999999	
0.0			0.055			1.0			1.0			2.4083303969395127	0.5			18.181818181818183	6010.518407212622	1.1921689402735779e7	-6010.518407212622	
0.0			0.06			1.0			1.0			2.4067157355307733	0.5			16.666666666666668	4629.6296296296305	7.71604938271605e6	-4629.6296296296305	
0.0			0.065			1.0			1.0			2.405532870636717	0.5			15.384615384615383	3641.3290851160673	5.1711182273837635e6	-3641.3290851160673	
0.0			0.07			1.0			1.0			2.40484456434037	0.5			14.285714285714285	2915.451895043731	3.5699410959719145e6	-2915.451895043731	
0.0			0.075			1.0			1.0			2.404720455939714	0.5			13.333333333333334	2370.370370370371	2.5283950617283955e6	-2370.370370370371	
0.0			0.08			1.0			1.0			2.401791332541103	0.5			12.5			1953.1249999999998	1.8310546874999998e6	-1953.1249999999998	
0.0			0.085			1.0			1.0			2.39146203007493	0.5			11.76470588235294	1628.3329940972928	1.3522488532295853e6	-1628.3329940972928	
0.0			0.09			1.0			1.0			2.381185315358008	0.5			11.11111111111111	1371.7421124828534	1.0161052685058174e6	-1371.7421124828534	
0.0			0.095			1.0			1.0			2.371044634750879	0.5			10.526315789473685	1166.3507799970841	775413.2609398896	-1166.3507799970841	
